,Unnamed: 0,ID,prediction
0,0,2019 X 7 X C4001 X AS21126,0.0
1,1,2019 X 7 X C4001 X AS27134,18.12
2,2,2019 X 7 X C4001 X AS27132,1.15
3,3,2019 X 7 X C4001 X AS27000,7.8
4,4,2019 X 7 X C4001 X AS27137,1.13
5,5,2019 X 7 X C4001 X AS27138,2.8
6,6,2019 X 7 X C4001 X AS27133,32.4
7,7,2019 X 7 X C4023 X AS27000,12.44
8,8,2019 X 7 X C4023 X AS27133,35.68
9,9,2019 X 8 X C4023 X AS27000,14.37
10,10,2019 X 8 X C4023 X AS27133,28.04
11,11,2019 X 8 X C4001 X AS21126,0.0
12,12,2019 X 8 X C4001 X AS27134,18.77
13,13,2019 X 8 X C4001 X AS27132,0.91
14,14,2019 X 8 X C4001 X AS27000,8.98
15,15,2019 X 8 X C4001 X AS27137,1.87
16,16,2019 X 8 X C4001 X AS27138,5.9
17,17,2019 X 8 X C4001 X AS27133,28.12
18,18,2019 X 9 X C4001 X AS27134,22.65
19,19,2019 X 9 X C4001 X AS27132,1.57
20,20,2019 X 9 X C4001 X AS27000,8.85
21,21,2019 X 9 X C4001 X AS27137,1.18
22,22,2019 X 9 X C4001 X AS27138,5.42
23,23,2019 X 9 X C4001 X AS27133,24.95
24,24,2019 X 9 X C4023 X AS27000,14.75
25,25,2019 X 9 X C4023 X AS27133,29.53
26,26,2019 X 7 X C1066 X AS27134,54.76
27,27,2019 X 7 X C1066 X AS27132,49.65
28,28,2019 X 7 X C1066 X AS27000,56.97
29,29,2019 X 7 X C1066 X AS27137,3.81
30,30,2019 X 7 X C1066 X AS27138,11.17
31,31,2019 X 7 X C1066 X AS27133,73.47
32,32,2019 X 7 X C1026 X AS27134,26.7
33,33,2019 X 7 X C1026 X AS27132,10.05
34,34,2019 X 7 X C1026 X AS27000,74.12
35,35,2019 X 7 X C1026 X AS27137,3.09
36,36,2019 X 7 X C1026 X AS27138,10.78
37,37,2019 X 7 X C1026 X AS27133,12.78
38,38,2019 X 7 X C1063 X AS42018,0.0
39,39,2019 X 7 X C1063 X AS21126,0.0
40,40,2019 X 7 X C1063 X AS46000,0.0
41,41,2019 X 7 X C1063 X AS17005,0.0
42,42,2019 X 7 X C1063 X AS27134,3.63
43,43,2019 X 7 X C1063 X AS27132,2.98
44,44,2019 X 7 X C1063 X AS27000,4.58
45,45,2019 X 7 X C1063 X AS27139,0.0
46,46,2019 X 7 X C1063 X AS27137,0.33857142857142863
47,47,2019 X 7 X C1063 X AS27138,0.67
48,48,2019 X 7 X C1063 X AS27133,22.37
49,49,2019 X 7 X C1011 X AS21126,0.73
50,50,2019 X 7 X C1011 X AS46000,0.24
51,51,2019 X 7 X C1011 X AS27134,8.64
52,52,2019 X 7 X C1011 X AS27132,3.51
53,53,2019 X 7 X C1011 X AS27000,11.86
54,54,2019 X 7 X C1011 X AS27139,0.0
55,55,2019 X 7 X C1011 X AS27137,1.44
56,56,2019 X 7 X C1011 X AS27138,19.52
57,57,2019 X 7 X C1011 X AS27133,98.12
